Posicion;Equipos;Puntos;Partidos Jugados;Ganados;Empatados;Perdidos;Goles Favor;Goles Contra;Diferencia Goles;Escudos
1;CASTILLEJA C.F.;34;15;10;4;1;38;16;22;https://www.lapreferente.com/imagenes/escudos/escudo-1137.png?f=1533938400
2;SAN ROQUE BALOMPIE;34;15;11;1;3;35;19;16;https://www.lapreferente.com/imagenes/escudos/escudo-203.png?f=1436738400
3;U.D. TOMARES;32;15;10;2;3;41;15;26;https://www.lapreferente.com/imagenes/escudos/escudo-199.png?f=1624213117
4;C.D. ASOC. DVA. NERVION;28;15;7;7;1;33;20;13;https://www.lapreferente.com/imagenes/escudos/escudo-343.png?f=1462399200
5;CALAVERA C.F.;25;15;8;1;6;29;23;6;https://www.lapreferente.com/imagenes/escudos/escudo-627.gif?f=1440972000
6;C.D. NEVALUZ ECIJA UNION DEPORTIVA;23;15;6;5;4;28;29;-1;https://www.lapreferente.com/imagenes/escudos/escudo-10545.jpg?f=1632650707
7;C.D. CABECENSE;23;15;7;2;6;23;25;-2;https://www.lapreferente.com/imagenes/escudos/escudo-212.png?f=1437429600
8;C.D. DOCTOR FLEMING;21;15;5;7;3;21;16;5;https://www.lapreferente.com/imagenes/escudos/escudo-2354.png?f=1661552719
9;CORIA C.F.;20;15;5;5;5;27;26;1;https://www.lapreferente.com/imagenes/escudos/escudo-581.png?f=1436738400
10;C.D. MONTEQUINTO;19;15;5;4;6;28;28;0;https://www.lapreferente.com/imagenes/escudos/escudo-617.png?f=1473199200
11;C.D. UTRERA;17;15;4;5;6;20;22;-2;https://www.lapreferente.com/imagenes/escudos/escudo-201.png?f=1436738400
12;PELOTEROS SIERRA SUR SEVILLA;13;15;4;1;10;13;27;-14;https://www.lapreferente.com/imagenes/escudos/escudo-3090.png?f=1534024800
13;LA LIARA BALOMPIE;12;15;2;6;7;11;29;-18;https://www.lapreferente.com/imagenes/escudos/escudo-572.png?f=1533938400
14;U.D. LORETO;11;15;3;2;10;14;31;-17;https://www.lapreferente.com/imagenes/escudos/escudo-561.png?f=1533938400
15;C.D. DIABLOS ROJOS;10;15;2;4;9;14;26;-12;https://www.lapreferente.com/imagenes/escudos/escudo-444.png?f=1533938400
16;LORA C.F.;7;15;1;4;10;19;42;-23;https://www.lapreferente.com/imagenes/escudos/escudo-445.png?f=1462399200
